Time,m1_velocity,m2_velocity,m3_velocity,m1_current,m2_current,m3_current,x_acelleration,y_acelleration,angular_velocity,compass,m1_dutycycle,m2_dutycycle,m3_dutycycle,m1_setpoint,m2_setpoint,m3_setpoint,m1_dU,m2_dU,m3_dU,m1_U,m2_U,m3_U,V,Vn,W,elapsed_time,Xr,Yr,Teta,Vref,Vnref,Wref
19:18:19.82,0,0,0,43,91,0,0,76,93,-1091,3,36,30,0,0,0,-2.23546e-08,0.80319,-0.80319,-2.23546e-08,0.80319,-0.80319,0,0,0,267,0,0,0,0.25,0,0
19:18:19.141,0,12,0,28,82,0,0,63,86,-1091,3,56,50,0,0,0,2.54893e-09,0.480087,-0.480087,-1.98057e-08,1.28328,-1.28328,0,0,0,60,0,0,0,0.25,0,0
19:18:19.201,0,9,-4,56,80,0,0,58,77,-1091,3,65,62,0,0,0,0.0174895,0.214912,-0.28285,0.0174895,1.49819,-1.56613,0.0385285,0.0221671,0.222067,60,0.00227318,0.00130786,0.0131019,0.249951,-0.00492875,-0.0131019
19:18:19.263,0,17,-11,66,82,0,0,60,76,-1091,4,71,68,0,0,0,0.0242385,0.133042,-0.143259,0.041728,1.63123,-1.70939,0.0409747,0.00914831,0.0916465,62,0.00472426,0.00188892,0.0186007,0.2499,-0.00706743,-0.0186007
19:18:19.324,0,28,-20,30,76,0,0,50,71,-1091,5,72,71,0,0,0,0.0164944,0.0317455,-0.0681312,0.0582224,1.66298,-1.77752,0.0892882,0.0116113,0.116321,61,0.0102458,0.00271166,0.0258126,0.249799,-0.0100228,-0.0258126
19:18:19.385,0,36,-29,56,78,0,0,58,77,-1091,6,71,72,0,0,0,0.0214866,-0.02502,-0.0107474,0.079709,1.63796,-1.78827,0.150445,0.0130188,0.13042,61,0.0193993,0.0037424,0.0337682,0.249629,-0.0136151,-0.0337682
19:18:19.446,0,46,-37,42,94,0,0,79,94,-1091,7,69,71,0,0,0,0.0231316,-0.0505454,0.0134493,0.102841,1.58741,-1.77482,0.202733,0.0128428,0.128658,62,0.0317326,0.00494289,0.0416163,0.24937,-0.0177309,-0.0416163
19:18:19.508,0,47,-47,48,95,0,0,79,97,-1091,8,66,70,0,0,0,0.0282628,-0.0730565,0.0220802,0.131103,1.51436,-1.75274,0.258691,0.0161855,0.162144,61,0.0477158,0.0066128,0.0516692,0.248871,-0.0237307,-0.0516692
19:18:19.570,0,51,-50,41,97,0,0,81,102,-1091,9,64,69,0,0,0,0.020653,-0.0393385,0.0379812,0.151757,1.47502,-1.71476,0.290492,0,0,62,0.0654122,0.00752798,0.0516692,0.248556,-0.0268343,-0.0516692
19:18:19.630,0,56,-60,74,95,0,0,81,100,-1091,9,63,68,0,0,0,0.0136341,-0.0381764,0.0108379,0.165391,1.43684,-1.70392,0.311897,0.00246301,0.0246741,60,0.0847161,0.0086792,0.053199,0.247944,-0.0319977,-0.053199
19:18:19.689,0,61,-65,42,97,0,0,76,99,-1091,10,62,66,0,0,0,0.0117548,-0.0293585,0.0373856,0.177145,1.40748,-1.66653,0.357459,-0.00826867,-0.0828344,59,0.10616,0.00932423,0.048229,0.247294,-0.0366837,-0.048229
19:18:19.750,0,62,-68,42,100,0,0,79,101,-1091,10,60,65,0,0,0,0.00980766,-0.0372538,0.027617,0.186953,1.37023,-1.63891,0.387425,-0.00791681,-0.0793095,61,0.129401,0.00997044,0.0434704,0.24579,-0.0456841,-0.0434704
